[2024-03-31 15:53:07] udpate moving average: TDCX, row: 626
[2024-03-31 15:53:09] udpate moving average: GBCI, row: 688
[2024-03-31 15:53:11] udpate moving average: PCK, row: 688
[2024-03-31 15:53:13] udpate moving average: SOBR, row: 688
[2024-03-31 15:53:15] udpate moving average: NHTC, row: 688
[2024-03-31 15:53:16] udpate moving average: LOCL, row: 590
[2024-03-31 15:53:18] udpate moving average: OPRX, row: 688
[2024-03-31 15:53:20] udpate moving average: BTI, row: 688
[2024-03-31 15:53:22] udpate moving average: KOSS, row: 688
[2024-03-31 15:53:24] udpate moving average: MRUS, row: 688
[2024-03-31 15:53:25] udpate moving average: 465320.KQ, row: 78
[2024-03-31 15:53:26] udpate moving average: BNRE.A, row: 0
[2024-03-31 15:53:29] udpate moving average: OPINL, row: 688
[2024-03-31 15:53:31] udpate moving average: 018880.KS, row: 20
[2024-03-31 15:53:32] udpate moving average: 009200.KS, row: 672
[2024-03-31 15:53:34] udpate moving average: 900270.KQ, row: 670
[2024-03-31 15:53:36] udpate moving average: ITOS, row: 688
[2024-03-31 15:53:37] udpate moving average: 066410.KQ, row: 1
[2024-03-31 15:53:38] udpate moving average: ISRLU, row: 303
[2024-03-31 15:53:40] udpate moving average: 377330.KQ, row: 527
[2024-03-31 15:53:41] udpate moving average: VNO PR O, row: 0
[2024-03-31 15:53:43] udpate moving average: LNTH, row: 688
[2024-03-31 15:53:45] udpate moving average: 035620.KQ, row: 669
[2024-03-31 15:53:47] udpate moving average: NTIC, row: 688
[2024-03-31 15:53:49] udpate moving average: 054950.KQ, row: 669
[2024-03-31 15:53:51] udpate moving average: BELFB, row: 688
[2024-03-31 15:53:52] udpate moving average: 036200.KQ, row: 670
[2024-03-31 15:53:54] udpate moving average: 023000.KS, row: 672
[2024-03-31 15:53:56] udpate moving average: AIF, row: 688
[2024-03-31 15:53:58] udpate moving average: 370090.KQ, row: 515
[2024-03-31 15:53:59] udpate moving average: ETR, row: 688
[2024-03-31 15:54:01] udpate moving average: TJX, row: 688
[2024-03-31 15:54:03] udpate moving average: EPSN, row: 688
[2024-03-31 15:54:05] udpate moving average: PAXS, row: 545
[2024-03-31 15:54:06] udpate moving average: GMFI, row: 521
[2024-03-31 15:54:08] udpate moving average: DUK PR A, row: 0
[2024-03-31 15:54:10] udpate moving average: 062860.KQ, row: 1
[2024-03-31 15:54:11] udpate moving average: RGT, row: 688
[2024-03-31 15:54:13] udpate moving average: MODD, row: 535
[2024-03-31 15:54:15] udpate moving average: 097230.KS, row: 672
[2024-03-31 15:54:17] udpate moving average: WATT, row: 688
[2024-03-31 15:54:19] udpate moving average: WFC PR L, row: 0
[2024-03-31 15:54:21] udpate moving average: EOG, row: 688
