[2024-06-15 00:52:47] udpate price_detail: 174900.KQ, row: 5
[2024-06-15 00:52:49] udpate price_detail: 023460.KQ, row: 5
[2024-06-15 00:52:52] udpate price_detail: 065060.KQ, row: 5
[2024-06-15 00:52:55] udpate price_detail: 035900.KQ, row: 5
[2024-06-15 00:52:57] udpate price_detail: 005160.KQ, row: 5
[2024-06-15 00:53:00] udpate price_detail: 050120.KQ, row: 5
[2024-06-15 00:53:02] udpate price_detail: 200710.KQ, row: 5
[2024-06-15 00:53:05] udpate price_detail: 014970.KQ, row: 5
[2024-06-15 00:53:07] udpate price_detail: 141000.KQ, row: 5
[2024-06-15 00:53:09] udpate price_detail: 213420.KQ, row: 5
[2024-06-15 00:53:12] udpate price_detail: 223250.KQ, row: 5
[2024-06-15 00:53:14] udpate price_detail: 318020.KQ, row: 5
[2024-06-15 00:53:17] udpate price_detail: 006910.KQ, row: 5
[2024-06-15 00:53:19] udpate price_detail: 070590.KQ, row: 5
[2024-06-15 00:53:22] udpate price_detail: 038060.KQ, row: 5
[2024-06-15 00:53:25] udpate price_detail: 018620.KQ, row: 5
[2024-06-15 00:53:27] udpate price_detail: 047310.KQ, row: 5
[2024-06-15 00:53:30] udpate price_detail: 086520.KQ, row: 39
[2024-06-15 00:53:33] udpate price_detail: 219750.KQ, row: 0
[2024-06-15 00:53:35] udpate price_detail: 250000.KQ, row: 5
[2024-06-15 00:53:38] udpate price_detail: 109960.KQ, row: 5
[2024-06-15 00:53:40] udpate price_detail: 095700.KQ, row: 5
[2024-06-15 00:53:43] udpate price_detail: 241840.KQ, row: 5
[2024-06-15 00:53:45] udpate price_detail: 356860.KQ, row: 5
[2024-06-15 00:53:48] udpate price_detail: 448280.KQ, row: 5
[2024-06-15 00:53:51] udpate price_detail: 215600.KQ, row: 5
[2024-06-15 00:53:53] udpate price_detail: 264850.KQ, row: 5
[2024-06-15 00:53:56] udpate price_detail: 445970.KQ, row: 5
[2024-06-15 00:53:59] udpate price_detail: 046440.KQ, row: 5
[2024-06-15 00:54:01] udpate price_detail: 448740.KQ, row: 5
[2024-06-15 00:54:04] udpate price_detail: 027360.KQ, row: 5
[2024-06-15 00:54:06] udpate price_detail: 259630.KQ, row: 5
[2024-06-15 00:54:09] udpate price_detail: 368970.KQ, row: 5
[2024-06-15 00:54:12] udpate price_detail: 440290.KQ, row: 5
[2024-06-15 00:54:14] udpate price_detail: 091580.KQ, row: 5
[2024-06-15 00:54:17] udpate price_detail: 081580.KQ, row: 5
[2024-06-15 00:54:20] udpate price_detail: 011560.KQ, row: 5
[2024-06-15 00:54:22] udpate price_detail: 109740.KQ, row: 5
[2024-06-15 00:54:25] udpate price_detail: 215000.KQ, row: 5
[2024-06-15 00:54:28] udpate price_detail: 043150.KQ, row: 5
[2024-06-15 00:54:30] udpate price_detail: 043370.KQ, row: 5
[2024-06-15 00:54:33] udpate price_detail: 352770.KQ, row: 5
[2024-06-15 00:54:36] udpate price_detail: 079650.KQ, row: 5
[2024-06-15 00:54:38] udpate price_detail: 096350.KQ, row: 5
[2024-06-15 00:54:41] udpate price_detail: 036630.KQ, row: 5
[2024-06-15 00:54:44] udpate price_detail: 008830.KQ, row: 5
[2024-06-15 00:54:47] udpate price_detail: 214150.KQ, row: 5
[2024-06-15 00:54:49] udpate price_detail: 900120.KQ, row: 5
[2024-06-15 00:54:52] udpate price_detail: 067920.KQ, row: 5
[2024-06-15 00:54:55] udpate price_detail: 042420.KQ, row: 5
[2024-06-15 00:54:57] udpate price_detail: 101170.KQ, row: 5
[2024-06-15 00:55:00] udpate price_detail: 330350.KQ, row: 5
[2024-06-15 00:55:03] udpate price_detail: 089230.KQ, row: 5
